Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Multinational,8/30/1991,8:58:00,Zenit-2,Tselina-2 n†­9,Retired,0,Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,9/12/1991,23:11:00,Space Shuttle Discovery,STS-48,Retired,450000000,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,9/17/1991,20:01:00,Molniya-M /Block ML,Molniya-3 n†­151,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,9/26/1991,23:43:00,Ariane 44P,Anik E1,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,9/28/1991,7:05:00,Tsyklon-3,Cosmos 2157 to 2162,Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,10/10/1991,14:00:00,Cosmos-3M (11K65M),Cosmos 2164,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,10/29/1991,23:08:00,Ariane 44L,Intelsat 6AF1,Retired,0,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA", USA,11/8/1991,7:07:00,Titan IV(403)A,SLDCOM & NOSS 3x,Retired,0,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia", Russia,11/12/1991,20:09:00,Tsyklon-3,Cosmos 2165 to 2170,Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,11/24/1991,23:44:00,Space Shuttle Atlantis,STS-44,Retired,450000000,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,11/27/1991,3:30:00,Cosmos-3M (11K65M),Cosmos 2173,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,11/28/1991,13:23:00,Atlas-E/F Star-37S-ISS,DMSP F-11,Retired,0,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA", USA,12/7/1991,22:47:00,Atlas II,Eutelsat 2F3,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,12/16/1991,22:19:00,Ariane 44L,"Telecom 2A, Inmarsat 2F3",Retired,0,Success
Yuzhmash,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,12/18/1991,3:54:00,Tsyklon-3,Intercosmos 25 & Magion 3,Retired,0,Success
RVSN USSR,"Site 175/58, Baikonur Cosmodrome, Kazakhstan",Multinational,12/20/1991,,Rokot/Briz K,GVM Demo Flight,Retired,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China", China,12/28/1991,12:00:00,Long March 3,DFH-2A-T5,Retired,0,Partial Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,1/22/1992,14:52:00,Space Shuttle Discovery,STS-42,Retired,450000000,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia", Russia,1/24/1992,1:18:00,Molniya-M /Block 2BL,Cosmos 2176,Retired,0,Success
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Multinational,2/5/1992,18:14:00,Zenit-2,Tselina-2 n†­10,Retired,0,Failure
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA", USA,2/11/1992,0:41:00,Atlas II,USA-78 (DSCS IIIB-14),Retired,0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan", Japan,2/11/1992,1:50:00,H-I (9 SO),JERS 1,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,2/17/1992,22:05:00,Cosmos-3M (11K65M),Cosmos 2180,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,2/26/1992,23:58:00,Ariane 44L,"Superbird-B1, Arabsat-1C",Retired,0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,3/4/1992,4:27:00,Molniya-M /Block ML,Molniya-1 n†­152,Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,3/9/1992,22:35:00,Cosmos-3M (11K65M),Cosmos 2181,Retired,0,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA", USA,3/14/1992,0:00:00,Atlas I,Galaxy 5,Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,3/23/1992,22:29:00,Delta II 7925,USA-79 (GPS IIA-3),Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,3/24/1992,13:13:00,Space Shuttle Atlantis,STS-45,Retired,450000000,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,4/10/1992,3:20:00,Delta II 7925,USA-80 (GPS IIA-4),Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,4/15/1992,7:17:00,Cosmos-3M (11K65M),Cosmos 2184,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,4/15/1992,23:25:00,Ariane 44L,"Telecom 2B, Inmarsat-2F4",Retired,0,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA", USA,4/25/1992,8:53:00,Titan II(23)G,USA-81,Retired,35000000,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA", USA,5/7/1992,23:40:00,Space Shuttle Endeavour,STS-49,Retired,450000000,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,5/14/1992,0:40:00,Delta II 7925,Palapa B4,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,6/3/1992,0:50:00,Cosmos-3M (11K65M),Cosmos 2187 to 2194,Retired,0,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,6/7/1992,16:40:00,Delta II 6920-10,EUVE,Retired,0,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA", USA,6/10/1992,0:00:00,Atlas IIA,Intelsat K,Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,6/25/1992,16:12:00,Space Shuttle Columbia,STS-50,Retired,450000000,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,7/1/1992,20:16:00,Cosmos-3M (11K65M),Cosmos 2195,Retired,0,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA", USA,7/2/1992,21:54:00,Atlas II,USA-82 (DSCS IIIB-12),Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,7/7/1992,9:20:00,Delta II 7925,USA-83 (GPS IIA-5),Retired,0,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia", Russia,7/8/1992,9:53:00,Molniya-M /Block 2BL,Cosmos 2196,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,7/9/1992,22:42:00,Ariane 44L,"Insat-2A, Eutelsat 2F4",Retired,0,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia", Russia,7/13/1992,17:41:00,Tsyklon-3,Cosmos 2197 to 2202,Retired,0,Success
